size,block_size,warmup_ms,rep_ms,p20_ms,p50_ms,p80_ms,gbps_lower,gbps_p50,gbps_upper
4096,128,25,100,0.0071680000983178616,0.008191999979317188,0.008191999979317188,6.000000015148544,6.000000015148544,6.857142763088782
4096,256,25,100,0.0071680000983178616,0.008191999979317188,0.009216000325977802,5.33333314468878,6.000000015148544,6.857142763088782
4096,512,25,100,0.0071680000983178616,0.0071680000983178616,0.008191999979317188,6.000000015148544,6.857142763088782,6.857142763088782
4096,1024,25,100,0.006144000217318535,0.0071680000983178616,0.0071680000983178616,6.857142763088782,6.857142763088782,7.99999971703317
65536,128,25,100,0.0071680000983178616,0.0071680000983178616,0.0071680000983178616,109.71428420942051,109.71428420942051,109.71428420942051
65536,256,25,100,0.0071680000983178616,0.0071680000983178616,0.008191999979317188,96.0000002423767,109.71428420942051,109.71428420942051
65536,512,25,100,0.0071680000983178616,0.0071680000983178616,0.0071680000983178616,109.71428420942051,109.71428420942051,109.71428420942051
65536,1024,25,100,0.0071680000983178616,0.008191999979317188,0.008191999979317188,96.0000002423767,96.0000002423767,109.71428420942051
1048576,128,25,100,0.015359999611973763,0.015359999611973763,0.01740800030529499,722.8235167351564,819.2000206947333,819.2000206947333
1048576,256,25,100,0.015359999611973763,0.016383999958634377,0.01740800030529499,722.8235167351564,768.0000019390136,819.2000206947333
1048576,512,25,100,0.014336000196635723,0.014336000196635723,0.016383999958634377,768.0000019390136,877.7142736753641,877.7142736753641
1048576,1024,25,100,0.014336000196635723,0.014336000196635723,0.01740800030529499,722.8235167351564,877.7142736753641,877.7142736753641
16777216,128,25,100,0.13414399325847626,0.13516800105571747,0.1372160017490387,1467.2238618948863,1489.4545338212954,1500.824502906161
16777216,256,25,100,0.12595200538635254,0.12697599828243256,0.12800000607967377,1572.8639252929727,1585.5484085440269,1598.4389560328084
16777216,512,25,100,0.12390399724245071,0.12492799758911133,0.12492799758911133,1611.541014706439,1611.541014706439,1624.859540294343
16777216,1024,25,100,0.12390399724245071,0.12390399724245071,0.12492799758911133,1611.541014706439,1624.859540294343,1624.859540294343
