size_m,size_n,provider,num_stages,warmup_ms,rep_ms,latency_ms,effective_gbps
256,781,torch_naive,,25,100,0.04198399931192398,38.09756159999091
256,781,torch_fused,,25,100,0.011264000087976456,141.99999889092183
256,781,triton_naive,,25,100,0.008191999979317188,195.25000049295886
256,781,triton_persistent,1,25,100,0.008191999979317188,195.25000049295886
256,781,triton_persistent,2,25,100,0.009216000325977802,173.55554941674734
256,781,triton_persistent,4,25,100,0.009216000325977802,173.55554941674734
4096,781,torch_naive,,25,100,0.07577600330114365,337.72971501670315
4096,781,torch_fused,,25,100,0.025599999353289604,999.6800252540415
4096,781,triton_naive,,25,100,0.02457600086927414,1041.333296500484
4096,781,triton_persistent,1,25,100,0.02457600086927414,1041.333296500484
4096,781,triton_persistent,2,25,100,0.025599999353289604,999.6800252540415
4096,781,triton_persistent,4,25,100,0.028672000393271446,892.5714163287231
4096,2049,torch_naive,,25,100,0.2027519941329956,331.15152473399746
4096,2049,torch_fused,,25,100,0.07372800260782242,910.666634455609
4096,2049,triton_naive,,25,100,0.048128001391887665,1395.0637894412384
4096,2049,triton_persistent,1,25,100,0.053247999399900436,1260.9230911335526
4096,2049,triton_persistent,2,25,100,0.060416001826524734,1111.3220003002994
4096,2049,triton_persistent,4,25,100,0.060416001826524734,1111.3220003002994
